               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 138,           0.0071882,           0.0030288,                   0,             0.99532,             0.95604,             0.98133,             0.81575,            0.013995,           0.0050487,                   0,             0.00178,             0.00178,             0.00178
                 139,           0.0071545,           0.0030205,                   0,             0.99584,             0.95637,             0.98121,             0.81449,            0.014045,            0.005069,                   0,             0.00172,             0.00172,             0.00172
                 140,            0.007198,           0.0031086,                   0,             0.99583,             0.95509,             0.98111,             0.81446,            0.014086,           0.0050864,                   0,             0.00166,             0.00166,             0.00166
                 141,           0.0070907,           0.0030188,                   0,             0.99583,             0.95464,             0.98079,             0.81436,            0.014045,           0.0050866,                   0,              0.0016,              0.0016,              0.0016
                 142,           0.0071355,           0.0030623,                   0,             0.99687,             0.95602,             0.98157,             0.81463,            0.014005,           0.0050703,                   0,             0.00154,             0.00154,             0.00154
                 143,           0.0070788,           0.0030665,                   0,             0.99662,             0.95804,             0.98252,             0.81503,             0.01396,           0.0050251,                   0,             0.00148,             0.00148,             0.00148
                 144,           0.0070299,           0.0031358,                   0,             0.99688,             0.95842,              0.9832,             0.81348,            0.013963,           0.0050064,                   0,             0.00142,             0.00142,             0.00142
                 145,           0.0068759,            0.003004,                   0,             0.99792,             0.95902,             0.98283,             0.81238,            0.014011,            0.004995,                   0,             0.00136,             0.00136,             0.00136
                 146,           0.0069744,           0.0029776,                   0,             0.99792,             0.95898,             0.98324,             0.81246,            0.014026,           0.0049942,                   0,              0.0013,              0.0013,              0.0013
                 147,           0.0071213,            0.003146,                   0,             0.99792,             0.95878,              0.9829,             0.81164,            0.014031,           0.0050149,                   0,             0.00124,             0.00124,             0.00124
                 148,           0.0068386,           0.0030143,                   0,             0.99714,             0.95804,             0.98272,              0.8117,            0.014035,           0.0050412,                   0,             0.00118,             0.00118,             0.00118
                 149,           0.0070204,           0.0030502,                   0,             0.99782,             0.95804,             0.98232,             0.81025,            0.014071,           0.0050775,                   0,             0.00112,             0.00112,             0.00112
